date,code,name,title,type,url
2025-01-16,688026,洁特生物,洁特生物:关于补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/688026/AN202501151641937727.html
2025-03-27,600129,太极集团,太极集团:太极集团关于子公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/600129/AN202503261647836662.html
2025-04-01,002996,顺博合金,顺博合金:关于公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/002996/AN202503311649667095.html
2025-04-02,002996,顺博合金,顺博合金:中证鹏元关于关注重庆顺博铝合金股份有限公司补缴税款及下修业绩预告的公告,业绩预告,https://data.eastmoney.com/notices/detail/002996/AN202504011649945698.html
2025-04-02,600356,恒丰纸业,恒丰纸业:恒丰纸业关于公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/600356/AN202504011649898622.html
2025-04-22,000863,三湘印象,三湘印象:关于子公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/000863/AN202504211660107152.html
2025-05-28,000546,金圆股份,金圆股份:关于子公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/000546/AN202505271680090921.html
2025-06-03,002826,易明医药,易明医药:关于子公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/002826/AN202506021683528081.html
2025-06-18,002530,金财互联,金财互联:关于子公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/002530/AN202506171692649427.html
2025-07-03,002083,孚日股份,孚日股份:关于缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/002083/AN202507021701591616.html
2025-07-15,603617,君禾股份,君禾股份:君禾股份关于缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/603617/AN202507141708732417.html
2025-07-22,603131,上海沪工,上海沪工:关于公司缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/603131/AN202507211713022077.html
2025-08-05,002907,华森制药,华森制药:关于公司缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/002907/AN202508041721331348.html
2025-08-06,002838,道恩股份,道恩股份:关于缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/002838/AN202508051721944407.html
2025-08-07,002012,凯恩股份,凯恩股份:关于公司缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/002012/AN202508061722621593.html
2025-08-13,300243,瑞丰高材,瑞丰高材:关于缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/300243/AN202508121726171012.html
2025-08-14,300645,正元智慧,正元智慧:关于公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/300645/AN202508141727446571.html
2025-08-15,600166,福田汽车,福田汽车:关于公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/600166/AN202508141727378314.html
2025-08-19,002479,富春环保,富春环保:关于子公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/002479/AN202508181729866198.html
2025-08-27,300040,九洲集团,九洲集团:关于公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/300040/AN202508261734908490.html
2025-08-29,000967,盈峰环境,盈峰环境:关于公司缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/000967/AN202508281736025727.html
2025-08-29,301383,天键股份,天键股份:关于补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/301383/AN202508281736004100.html
2025-09-04,600516,方大炭素,方大炭素:方大炭素关于公司缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/600516/AN202509031738484372.html
2025-09-05,002612,朗姿股份,朗姿股份:2025-052关于子公司需补缴税款事项的公告,其他,https://data.eastmoney.com/notices/detail/002612/AN202509041738875646.html
2025-09-10,601678,滨化股份,滨化股份:滨化股份关于缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/601678/AN202509091740786174.html
2025-09-12,603077,和邦生物,和邦生物:和邦生物关于公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/603077/AN202509111741750311.html
2025-09-12,002403,爱仕达,爱仕达:关于补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/002403/AN202509111741811929.html
2025-09-16,300026,红日药业,红日药业:关于补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/300026/AN202509161744812893.html
2025-09-16,603690,至纯科技,至纯科技:关于缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/603690/AN202509151744195144.html
2025-09-16,688232,新点软件,新点软件:新点软件关于补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/688232/AN202509151744183526.html
2025-09-30,300610,晨化股份,晨化股份:关于公司及子公司缴纳税款的公告,其他,https://data.eastmoney.com/notices/detail/300610/AN202509301753428836.html
2025-09-30,002627,三峡旅游,三峡旅游:关于子公司补缴税款的公告,其他,https://data.eastmoney.com/notices/detail/002627/AN202509291752879099.html
